D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
LOC113013583	17	29	20	21	47	98	50	28	4	31	0
LOC113013589	0	0	0	6	6	26	26	0	5	18	0
LOC113013594	0	0	1	0	0	0	0	0	0	0	0
LOC113013595	0	0	0	0	0	0	17	1	4	1	0
LOC113013596	0	0	0	0	0	0	0	0	0	0	0
LOC113013600	0	0	0	0	0	0	0	0	0	0	0
LOC113013601	30	27	29	11	7	65	24	27	41	69	5
LOC113013602	108	71	56	42	231	302	282	65	47	136	26
LOC113013603	0	5	11	4	2	27	21	11	0	10	0
LOC113013604	0	0	0	0	16	75	89	2	0	48	10
LOC113013605	279	75	334	310	130	717	399	704	153	371	80
LOC113013606	60	80	74	75	113	236	200	222	93	250	66
LOC113013607	6364	1622	1407	3464	1697	5580	3833	2590	751	5568	1064
LOC113013609	283	270	127	161	678	645	604	63	12	206	17
LOC113013614	18	29	42	32	13	156	29	52	26	123	23
LOC113013615	0	3	0	0	2	1	2	2	0	0	0
LOC113013617	33	89	85	41	92	468	235	102	24	239	43
LOC113013618	5370	2427	6053	3979	2305	4987	1926	3476	2952	2783	2083
LOC113013619	0	0	0	0	0	0	0	3	0	0	0
LOC113013623	140	114	89	126	185	329	266	150	29	247	49
LOC113013624	100	114	184	129	345	778	593	222	158	615	135
LOC113013626	6	0	0	0	1	5	0	0	0	4	0
LOC113013627	13	13	12	13	24	134	62	26	8	46	9
LOC113013632	0	0	0	0	0	7	0	0	0	2	0
LOC113013633	110	45	154	119	74	1917	636	431	121	655	101
LOC113013634	9	6	13	10	36	82	132	2	6	56	3
LOC113013637	0	0	0	0	0	2	0	0	0	0	0
LOC113013638	92	91	66	47	129	290	160	109	9	195	16
LOC113013640	0	0	0	0	0	0	0	0	0	0	0
LOC113013643	0	0	30	0	6	271	11	43	20	12	35
LOC113013645	0	0	0	0	0	0	0	0	0	1	0
LOC113013647	64	98	64	76	76	110	117	86	47	142	24
LOC113013650	0	0	0	0	0	0	0	0	0	0	0
LOC113013651	157	161	191	110	82	410	170	229	90	294	62
LOC113013652	487	390	115	283	1100	669	826	48	17	342	10
LOC113013657	0	0	0	0	0	1	0	2	0	0	0
LOC113013658	165	118	171	115	50	2324	414	916	196	532	307
LOC113013659	0	0	0	0	0	0	0	0	0	0	0
LOC113013664	2	4	1	6	9	3	0	5	0	4	0
LOC113013665	77	8	76	36	25	74	47	20	0	14	3
LOC113013666	0	0	0	0	0	13	3	2	0	0	0
LOC113013668	196	58	23	97	125	43	42	9	14	34	0
LOC113013673	0	10	8	7	0	30	6	0	0	3	0
LOC113013674	38	34	38	43	86	161	156	63	34	78	28
LOC113013675	2	14	3	11	73	106	43	0	8	13	0
LOC113013676	24	18	11	2	12	54	2	3	2	6	0
LOC113013677	361	271	232	207	277	521	476	302	145	459	144
LOC113013678	132	111	51	37	134	289	173	72	30	153	13
LOC113013680	54	34	26	18	42	287	279	156	81	247	73
LOC113013681	35	23	8	14	24	126	62	26	0	116	27
LOC113013682	577	659	545	539	1052	1223	1010	1090	754	1327	559
LOC113013683	2	1	1	7	6	20	13	10	0	0	1
LOC113013686	19	5	21	21	4	16	14	31	0	2	3
LOC113013687	0	0	0	0	0	0	0	0	0	0	0
LOC113013689	150	152	137	69	132	814	407	368	52	403	155
LOC113013690	0	2	0	0	0	25	9	1	0	9	0
LOC113013692	0	0	0	0	0	0	0	0	0	0	0
LOC113013693	0	19	0	1	11	1	27	29	145	27	25
LOC113013695	10	3	16	1	2	22	13	13	0	6	0
LOC113013696	113	12	22	8	6	1008	1892	127	170	698	72
LOC113013697	0	1	0	0	0	9	6	6	0	14	3
LOC113013698	179	148	9	0	0	23	382	4	184	382	92
LOC113013699	60	43	139	24	39	514	438	583	441	1013	383
LOC113013700	32	2	17	0	0	16	14	4	0	21	10
LOC113013701	8	1	7	0	4	16	3	0	0	6	0
LOC113013702	0	0	0	0	0	0	6	0	0	1	0
LOC113013703	356	272	857	167	103	1142	74	325	195	582	184
LOC113013704	0	0	0	0	0	0	0	1	0	1	0
LOC113013705	0	0	3	0	0	7	8	5	3	7	0
LOC113013706	0	0	0	0	0	0	0	0	0	0	0
LOC113013707	114	136	95	2	522	797	678	230	19	498	26
LOC113013710	0	4	9	0	0	6	0	6	2	0	12
LOC113013711	3	14	3	7	26	39	91	26	4	50	7
LOC113013713	56	39	11	30	102	34	90	8	3	38	0
LOC113013714	103	99	99	67	106	89	114	17	1	73	1
LOC113013715	1	2	9	4	1	99	12	43	15	17	19
LOC113013716	137	35	120	33	35	146	25	84	91	140	28
LOC113013717	0	0	0	3	0	2	1	41	24	29	14
LOC113013718	0	0	0	0	0	0	0	0	0	0	0
LOC113013719	0	0	0	5	0	2	5	41	10	35	0
LOC113013721	0	0	0	0	0	0	0	0	0	0	0
LOC113013722	2	0	0	0	0	5	10	0	0	16	0
LOC113013723	0	0	4	0	0	3	0	2	0	1	0
LOC113013724	0	0	5	1	3	0	5	0	0	0	0
LOC113013725	5	4	6	0	0	21	6	13	1	11	14
LOC113013726	0	0	0	0	0	0	0	0	0	0	0
LOC113013727	0	0	0	0	0	0	0	0	0	0	0
LOC113013728	0	0	0	0	4	3	14	1	0	0	0
LOC113013730	0	0	0	6	1	0	1	0	0	2	0
LOC113013732	0	0	6	0	0	0	0	0	0	0	0
LOC113013736	18	24	11	5	14	31	34	5	0	4	0
LOC113013738	304	240	311	168	308	549	404	273	90	461	76
LOC113013740	0	0	0	0	0	0	0	1	0	0	0
LOC113013742	173	26	186	121	57	71	34	62	14	68	17
LOC113013743	4748	478	17897	13355	2308	3866	9697	9082	9747	3405	9493
LOC113013746	0	0	0	0	0	0	0	1	0	0	0
LOC113013747	493	330	175	236	559	600	367	181	132	353	78
LOC113013751	72	75	128	44	113	643	456	288	39	509	48
LOC113013752	894	588	454	691	1643	1216	1005	103	71	879	153
LOC113013753	0	0	0	0	0	0	0	0	0	0	0
LOC113013755	0	0	0	0	0	0	0	0	0	0	0
LOC113013756	0	4	0	0	7	51	52	3	0	10	8
LOC113013757	274	116	29	194	264	89	65	22	3	46	1
LOC113013758	438	445	500	312	234	845	417	468	131	861	121
LOC113013761	0	0	0	0	0	0	0	0	0	0	0
LOC113013762	0	0	0	0	0	0	0	0	0	0	0
LOC113013764	4	0	0	0	0	0	2	0	0	0	0
LOC113013771	0	0	0	0	0	0	0	0	0	0	0
LOC113013773	6	2	0	7	5	7	5	0	0	2	1
LOC113013774	0	1	0	0	1	48	16	2	20	104	4
LOC113013775	0	0	0	0	0	0	1	0	0	0	0
LOC113013777	62	65	64	45	284	321	652	37	9	285	34
LOC113013778	0	1	0	1	2	0	3	0	2	0	0
LOC113013779	0	0	0	0	0	0	0	0	0	1	0
LOC113013780	15	3	4	2	0	59	3	4	17	6	4
LOC113013781	0	0	7	4	1	12	5	6	0	2	7
LOC113013782	24	19	28	18	8	49	8	15	0	12	3
LOC113013783	114	31	21	33	182	117	245	3	4	31	5
LOC113013784	0	4	3	0	0	0	4	0	0	0	0
LOC113013785	0	0	2	6	0	10	2	11	3	7	0
LOC113013786	0	0	0	0	0	0	0	0	0	0	0
LOC113013787	0	0	0	2	2	2	12	5	0	4	0
LOC113013790	1007	575	459	466	1221	465	243	47	48	174	88
LOC113013792	0	14	3	2	23	128	106	8	0	25	3
LOC113013794	0	10	28	20	16	219	80	35	3	92	13
LOC113013797	64	86	109	165	379	2119	1409	676	198	1088	225
LOC113013798	6	3	0	0	1	23	9	5	2	3	7
LOC113013799	0	0	0	0	0	0	0	0	0	0	0
LOC113013800	9	0	26	11	27	15	25	3	11	9	8
LOC113013802	65	68	144	74	208	559	471	191	40	439	45
LOC113013803	38	13	49	23	22	80	42	59	19	42	21
LOC113013804	6	11	0	0	12	18	2	14	0	0	0
LOC113013805	2	3	5	8	0	3	1	0	0	2	0
LOC113013806	0	0	0	0	2	0	0	2	0	0	0
LOC113013807	57	27	59	44	15	155	25	30	29	66	0
LOC113013808	0	2	10	3	6	37	7	12	5	17	14
LOC113013811	11	3	0	11	0	0	2	1	12	1	2
LOC113013812	4	7	12	7	15	27	14	5	3	27	1
LOC113013813	0	0	0	1	0	0	0	0	0	0	0
LOC113013814	13	3	14	35	3	19	5	5	0	10	2
LOC113013815	0	0	8	3	2	17	16	8	0	1	1
LOC113013816	0	2	0	11	6	38	86	1	2	9	0
LOC113013817	0	0	2	24	0	3	0	0	0	0	0
LOC113013819	0	0	0	1	0	0	0	0	0	3	0
LOC113013820	346	268	511	274	350	994	394	274	172	520	127
LOC113013825	0	0	3	0	0	2	2	0	0	0	0
LOC113013826	7	1	0	0	3	20	6	4	0	4	0
LOC113013828	0	0	0	0	0	0	0	0	0	0	0
LOC113013831	4	7	5	11	33	44	56	11	15	32	5
LOC113013833	0	0	0	0	0	0	0	0	0	0	0
LOC113013843	0	0	0	0	0	0	0	0	0	0	0
LOC113013846	184	165	305	292	399	939	596	387	203	566	533
LOC113013847	19	28	80	29	13	11	0	0	6	7	0
LOC113013848	114	115	123	79	48	92	59	83	49	156	32
LOC113013850	241	170	186	125	182	476	253	140	105	248	60
LOC113013852	0	0	0	0	0	5	3	0	0	4	0
LOC113013855	0	0	0	0	0	0	0	1	0	0	0
LOC113013862	0	0	0	0	0	0	0	0	0	0	0
LOC113013866	125	193	142	143	209	493	239	152	32	279	48
LOC113013869	0	0	0	0	0	1	5	0	0	0	0
LOC113013870	0	7	12	7	0	9	0	0	0	1	0
LOC113013873	0	0	0	0	0	1	3	0	0	0	0
LOC113013874	21	33	23	24	44	64	94	47	22	80	12
LOC113013876	469	244	317	302	545	505	291	328	239	354	217
LOC113013880	57	7	3	12	1	0	5	0	0	8	0
LOC113013882	23	4	7	17	22	226	129	40	3	107	11
LOC113013884	29	0	0	4	0	0	51	132	35	48	0
LOC113013886	4	9	0	5	15	36	64	2	0	14	0
LOC113013893	0	0	0	0	0	0	0	0	0	0	0
LOC113013897	20	20	16	25	21	45	43	17	13	20	11
LOC113013898	0	0	0	0	0	0	0	0	2	0	0
LOC113013899	23	23	6	27	29	26	36	6	8	30	5
LOC113013900	43	77	76	52	69	121	106	47	12	162	22
LOC113013901	43	10	18	17	26	42	6	9	4	19	4
LOC113013904	0	0	0	0	0	0	0	0	0	0	0
LOC113013907	0	0	0	0	0	0	0	0	0	0	0
LOC113013908	17	5	5	0	0	18	33	1	0	0	6
LOC113013909	0	0	0	0	0	0	0	0	0	0	0
LOC113013910	0	0	0	0	0	0	0	0	0	0	0
LOC113013913	0	0	0	0	0	3	5	1	0	4	0
LOC113013915	0	0	0	0	0	6	0	0	0	10	0
LOC113013917	0	3	0	1	1	11	14	0	0	0	2
LOC113013918	42	25	24	16	68	24	22	3	0	23	3
LOC113013919	5	2	2	0	7	11	3	1	4	8	0
LOC113013921	96	130	198	104	80	46	59	32	43	29	38
LOC113013922	55	38	12	55	60	347	516	372	573	599	454
LOC113013924	0	0	0	0	0	0	0	0	0	0	0
LOC113013927	24	10	26	4	22	62	14	24	10	25	32
LOC113013928	0	9	4	2	15	24	26	2	0	8	0
LOC113013929	14	0	0	3	4	1	31	8	0	1	0
LOC113013931	128	36	153	61	131	276	122	158	73	197	163
LOC113013932	0	0	8	0	0	0	0	0	0	0	0
LOC113013934	29	83	52	54	57	14	176	233	124	214	99
LOC113013935	16	119	6	81	43	0	134	227	247	229	194
LOC113013936	526	426	43	2	10	1508	914	68	27	565	65
LOC113013937	0	6	0	0	5	0	0	0	0	0	0
LOC113013938	57	12	234	42	35	127	4	88	21	34	0
LOC113013940	12	3	5	5	27	69	69	0	1	33	0
LOC113013941	121	115	17	74	279	601	521	14	3	162	2
LOC113013943	0	0	0	0	0	0	0	0	0	0	0
LOC113013945	23	48	5	25	17	179	93	218	6	262	29
LOC113013946	7	3	0	6	0	3	0	2	0	4	0
LOC113013947	19	4	63	46	4	41	84	194	53	69	37
LOC113013948	0	0	0	0	0	0	1	0	0	0	0
LOC113013950	9	0	0	0	0	0	0	0	0	0	0
LOC113013952	0	0	1	1	4	0	4	1	0	0	0
LOC113013953	179	104	113	307	93	331	115	100	37	121	42
LOC113013954	49	97	38	56	299	286	277	8	1	81	0
LOC113013955	99	143	257	92	112	340	132	115	48	187	83
LOC113013956	485	105	587	277	150	4393	268	1620	728	1894	854
LOC113013960	1949	1145	667	691	1614	1405	1189	197	189	1331	436
LOC113013962	25	12	8	6	1	9	0	7	13	6	1
LOC113013963	0	0	4	0	0	0	0	0	0	0	0
LOC113013971	24	10	17	6	4	48	6	7	1	10	3
LOC113013974	0	0	0	0	0	0	0	0	0	0	0
LOC113013975	1458	321	32	593	1153	138	65	39	3	81	10
LOC113013977	0	0	0	0	0	0	0	0	0	0	0
LOC113013978	0	0	0	1	0	2	4	0	0	1	0
LOC113013984	32	91	45	50	261	560	439	46	37	180	32
LOC113013985	0	0	4	0	0	0	0	1	0	0	0
LOC113013989	1204	118	4955	2640	349	1226	2813	5009	6308	1951	2660
LOC113013990	1920	440	3509	3059	663	2865	4212	11909	7489	8770	4356
LOC113013992	0	0	0	0	0	0	0	0	0	0	0
LOC113013996	0	0	0	0	0	0	0	0	0	0	0
LOC113013999	0	0	0	2	1	0	3	0	0	0	0
LOC113014000	4	8	34	18	8	23	44	116	86	30	24
LOC113014001	60	31	187	172	32	193	277	211	153	130	97
LOC113014002	7	3	37	6	13	88	25	0	0	87	0
LOC113014003	19	35	22	10	60	41	12	8	4	12	0
LOC113014004	1598	1494	1647	1093	1809	5162	3153	2201	499	3354	588
LOC113014005	760	191	1081	596	307	558	194	213	36	298	69
LOC113014006	0	0	0	0	1	11	1	8	0	0	0
LOC113014007	967	1063	690	661	1611	3084	2166	1120	383	1725	464
LOC113014010	8	3	0	0	0	6	0	0	0	0	0
LOC113014012	4	8	20	28	1	7	12	7	0	16	0
LOC113014013	0	0	0	0	0	0	1	1	0	0	0
LOC113014014	0	0	0	0	0	0	0	0	0	0	0
LOC113014015	0	0	0	0	1	6	0	0	0	2	0
LOC113014016	0	1	0	3	10	14	11	0	5	19	3
LOC113014017	1241	542	1049	1367	854	12517	3170	6207	2138	6797	1782
LOC113014024	125	87	30	70	448	409	800	27	1	272	4
LOC113014026	49	13	15	24	7	42	4	17	6	17	15
LOC113014027	0	0	0	0	0	2	0	0	0	0	0
LOC113014028	163	114	153	87	80	232	7	82	58	260	21
LOC113014029	29	17	0	14	151	257	363	11	17	65	13
LOC113014030	32	34	20	3	33	3	0	0	0	2	0
LOC113014031	113	42	92	29	20	85	37	40	0	33	1
LOC113014034	22	38	44	25	25	117	105	88	27	104	33
LOC113014035	0	0	0	0	0	1	3	0	0	0	0
LOC113014036	0	0	5	0	0	0	0	0	0	0	0
LOC113014037	0	0	2	0	0	2	0	0	0	0	0
LOC113014053	15	0	37	27	21	3	0	167	3	3	4
LOC113014069	0	0	0	0	0	0	0	0	0	0	0
LOC113014081	9	0	0	0	1	3	0	0	0	0	2
LOC113014084	46	0	94	181	24	52	382	268	33	160	20
LOC113014085	0	0	0	0	0	0	0	0	0	0	0
LOC113014086	0	0	0	0	0	0	0	0	18	3	0
LOC113014088	0	0	0	0	0	0	0	0	0	0	0
LOC113014089	0	0	0	0	0	0	0	0	0	0	0
LOC113014090	0	0	0	0	0	0	0	0	0	0	0
LOC113014091	0	0	0	0	0	0	0	0	0	0	0
LOC113014092	18	8	26	10	18	64	47	25	0	65	2
LOC113014093	0	0	0	0	0	0	0	0	0	0	0
LOC113014094	0	0	8	0	0	0	0	0	0	0	0
LOC113014095	0	0	0	0	0	0	0	0	0	0	0
LOC113014096	0	0	0	2	0	0	0	0	0	0	0
LOC113014099	67	86	13	79	96	216	614	273	129	266	97
LOC113014100	60	113	86	27	27	63	64	67	3	127	13
LOC113014101	128	202	145	119	298	590	634	349	163	573	173
LOC113014103	0	0	0	0	0	1	2	0	0	1	0
LOC113014104	4	0	0	2	2	7	1	2	0	3	1
LOC113014105	4	10	10	0	14	62	17	7	0	21	0
LOC113014106	1	0	0	1	2	5	0	0	0	2	0
LOC113014107	0	0	6	0	0	10	0	1	0	4	0
LOC113014108	2	1	0	0	1	7	5	0	0	6	0
LOC113014109	0	7	3	4	11	43	149	1	1	21	0
LOC113014110	162	33	0	21	56	31	17	1	0	4	1
LOC113014111	0	0	2	0	0	0	0	0	0	0	0
LOC113014113	385	170	254	34	107	255	31	95	236	61	36
LOC113014114	168	70	54	50	33	1257	27	106	94	125	65
LOC113014115	13	27	3	0	27	30	9	0	11	5	6
LOC113014116	56	6	4	47	7	64	9	25	16	22	17
LOC113014117	4	23	8	10	10	41	0	2	19	22	3
LOC113014118	0	2	0	0	0	2	0	2	0	0	0
LOC113014119	13	12	19	6	11	283	2	4	33	7	3
LOC113014120	147	72	347	109	92	627	6	25	58	11	55
LOC113014121	9	18	25	4	10	54	1	7	26	7	0
LOC113014122	0	0	0	0	0	1	0	0	0	0	0
LOC113014124	30	0	6	4	28	129	189	76	20	173	31
LOC113014125	64	114	248	15	183	67	92	137	31	158	7
LOC113014126	7	5	14	6	7	28	15	13	0	12	7
LOC113014127	0	0	3	0	0	0	2	0	0	0	0
LOC113014136	0	0	0	0	0	0	0	0	0	0	0
LOC113014137	20	13	9	7	13	72	71	28	7	40	8
LOC113014138	556	426	633	421	684	1556	994	398	156	824	164
LOC113014140	436	413	695	239	176	1425	630	394	68	1314	136
LOC113014144	424	315	200	317	646	1062	654	305	182	493	99
LOC113014145	0	0	0	0	0	0	0	0	0	0	0
LOC113014147	0	0	0	1	0	0	0	9	0	2	0
LOC113014148	0	0	0	0	0	0	0	0	0	0	0
LOC113014149	1526	457	1292	693	403	983	240	443	152	624	63
LOC113014153	88	70	23	58	473	1531	1193	42	21	312	25
LOC113014154	0	0	0	0	0	0	0	0	0	0	0
LOC113014155	2	0	0	0	0	1	1	1	0	0	0
LOC113014157	0	0	3	0	0	6	0	0	0	0	0
LOC113014159	0	0	3	0	1	0	1	0	0	1	0
LOC113014160	283	238	300	251	340	623	541	238	171	559	132
LOC113014161	6	6	4	6	36	93	101	2	2	25	3
LOC113014162	44	46	90	29	48	106	88	56	9	153	5
LOC113014164	7	33	9	33	45	36	26	0	0	0	16
LOC113014166	94	83	18	47	104	224	189	22	23	79	33
LOC113014167	46	27	101	2	5	91	24	36	20	24	21
LOC113014168	0	0	0	0	0	0	0	0	0	0	0
LOC113014169	9	0	0	0	0	8	0	0	0	0	0
LOC113014170	0	2	3	6	4	28	35	8	0	5	10
LOC113014171	0	0	0	0	0	0	0	0	0	0	0
LOC113014172	0	1	0	0	0	2	0	0	0	0	0
LOC113014173	0	0	0	0	1	0	0	2	0	0	0
LOC113014174	0	0	0	0	0	2	0	0	0	0	0
LOC113014175	0	0	0	0	0	0	0	0	0	0	0
LOC113014176	0	0	0	0	0	0	0	1	0	0	0
LOC113014179	0	0	0	0	0	0	0	0	0	0	0
LOC113014180	47	56	53	43	65	159	117	46	3	159	11
LOC113014182	198	53	192	58	91	136	76	17	8	76	6
LOC113014183	150	103	287	94	236	558	380	90	6	156	78
LOC113014184	0	0	0	0	0	2	0	0	0	0	0
LOC113014186	0	0	0	0	1	5	27	0	0	0	0
LOC113014187	0	0	0	0	0	0	0	0	0	0	0
LOC113014188	0	0	0	0	0	0	0	0	0	0	0
LOC113014189	33	60	77	92	166	354	305	175	168	271	148
LOC113014190	22	45	45	20	129	177	298	62	30	259	45
LOC113014192	63	130	93	92	322	1405	920	101	74	355	135
LOC113014193	0	0	0	10	0	0	3	0	0	4	0
LOC113014194	80	84	31	131	198	534	416	199	89	258	40
LOC113014196	0	3	2	8	8	174	87	43	37	118	28
LOC113014197	183	40	704	320	169	190	176	421	87	87	75
LOC113014200	0	0	0	0	0	0	4	0	0	0	0
LOC113014203	906	689	938	631	1102	1544	823	901	1145	1453	692
LOC113014205	58	36	103	45	102	216	236	83	39	144	30
LOC113014206	0	2	0	0	0	0	1	0	0	0	0
LOC113014207	198	145	229	186	340	934	836	404	117	696	175
LOC113014208	9	3	1	2	2	2	5	6	1	2	1
LOC113014209	0	0	0	0	0	0	0	0	0	0	0
LOC113014210	0	0	0	0	0	3	0	0	0	0	0
LOC113014211	42	42	38	57	243	161	219	22	3	101	2
LOC113014213	9036	6600	15684	9112	12601	22514	20428	27501	12008	26877	17559
LOC113014215	99	214	84	28	36	94	21	80	93	43	127
LOC113014217	0	2	7	0	0	5	0	4	0	6	3
LOC113014218	5	5	0	1	3	4	4	4	0	9	0
LOC113014219	6	1	31	75	23	253	62	535	19	27	72
LOC113014220	2	0	3	14	0	29	7	70	0	4	7
LOC113014222	43	14	20	76	49	112	81	30	0	36	9
LOC113014223	37	24	41	22	9	74	23	14	23	17	14
LOC113014226	18	36	27	8	66	173	990	25	3	78	32
LOC113014227	22	15	11	18	124	209	213	24	25	95	20
LOC113014228	1077	1051	1034	898	771	1334	784	1020	730	957	576
LOC113014230	0	0	0	0	0	4	0	0	0	4	0
LOC113014231	0	0	4	0	0	7	10	3	0	6	2
LOC113014232	635	905	1244	532	1625	2537	1435	587	274	1812	199
LOC113014234	19	5	5	3	13	21	13	3	3	1	5
LOC113014236	167	127	212	218	324	943	572	300	154	490	186
LOC113014237	99	133	132	97	131	198	88	101	26	92	41
LOC113014242	176	112	61	182	371	287	368	154	71	203	86
LOC113014246	42	44	32	18	91	135	183	31	0	64	5
LOC113014248	641	429	604	405	1013	4189	1307	1330	541	1213	718
LOC113014249	369	416	95	253	279	170	209	214	308	312	175
LOC113014252	488	343	268	393	356	1307	599	536	136	1336	94
LOC113014254	6	0	0	6	3	6	11	3	0	3	1
LOC113014255	122	155	155	91	327	579	455	85	24	286	35
LOC113014257	59	64	99	78	131	609	400	132	65	254	93
LOC113014259	155	143	69	52	288	323	269	28	12	157	16
LOC113014262	18	0	10	3	0	5	9	8	0	12	0
LOC113014263	216	220	304	307	202	1541	693	1170	169	1083	315
LOC113014266	225	154	412	127	92	618	655	423	155	1825	140
LOC113014267	5	0	0	0	0	7	1	0	0	0	0
LOC113014268	28	36	48	37	84	199	249	121	33	272	24
LOC113014269	53	23	44	44	39	260	13	82	102	35	24
LOC113014270	29	23	206	4	23	275	8	35	80	30	6
LOC113014271	68	7	24	2	9	100	37	26	25	5	19
LOC113014272	27	20	14	13	12	27	1	8	3	18	1
LOC113014273	35	17	39	34	16	355	16	57	46	22	22
LOC113014274	51	22	26	11	11	27	5	2	11	0	0
LOC113014276	10	12	26	9	4	20	22	19	4	66	0
LOC113014281	405	383	286	291	296	480	374	271	42	318	51
LOC113014283	145	118	135	110	314	526	477	179	94	318	80
LOC113014284	167	64	133	113	59	309	82	103	27	208	67
LOC113014286	1	0	0	0	0	0	0	0	0	0	0
LOC113014287	111	70	62	88	159	101	68	81	259	72	85
LOC113014288	2	19	12	7	22	52	46	12	5	34	3
LOC113014291	367	286	213	183	393	834	448	465	187	445	155
LOC113014293	0	2	0	0	0	3	2	3	0	0	0
LOC113014294	310	251	382	204	434	813	774	179	63	293	21
LOC113014298	38	39	122	46	48	304	54	125	36	114	34
LOC113014299	1	3	0	2	6	21	28	10	0	17	0
LOC113014300	466	440	97	306	1424	2160	2660	121	312	632	113
LOC113014301	0	0	0	1	0	0	0	0	0	0	0
LOC113014304	0	0	0	0	0	4	3	0	0	0	0
LOC113014305	0	0	0	0	0	1	0	4	0	0	0
LOC113014306	0	0	0	0	0	0	0	0	0	0	0
LOC113014307	0	0	0	0	0	0	0	0	0	0	0
LOC113014308	0	0	4	0	0	1	0	0	0	4	0
LOC113014309	0	1	0	0	0	7	1	0	0	0	1
LOC113014310	0	0	3	0	0	0	1	0	0	0	0
LOC113014312	0	0	6	1	1	0	3	3	8	2	0
LOC113014314	0	1	0	0	0	3	0	0	0	0	0
LOC113014315	2	0	0	2	0	7	6	0	0	0	0
LOC113014316	0	0	0	0	7	7	0	0	0	0	3
LOC113014317	5	0	0	0	1	0	2	0	0	2	1
LOC113014318	0	0	0	0	0	0	0	5	0	0	0
LOC113014319	1	0	0	0	0	0	5	2	0	0	0
LOC113014320	138	136	194	159	341	1533	853	542	364	1069	306
LOC113014322	75	47	28	51	96	246	243	79	21	116	13
LOC113014323	0	4	14	3	6	20	55	41	16	41	26
LOC113014324	0	0	0	2	0	1	3	2	0	0	0
LOC113014325	0	0	0	0	0	0	0	0	0	0	2
LOC113014327	83	91	20	52	316	279	264	21	10	60	17
LOC113014331	0	0	1	0	0	1	3	0	0	0	0
LOC113014332	33	48	32	40	57	306	197	289	244	543	126
LOC113014333	6	14	3	33	79	42	125	3	5	28	10
LOC113014334	79996	53320	94541	87477	78612	137195	105891	198277	200070	194284	148516
LOC113014335	5060	1913	9795	9034	4313	16809	21276	45061	53204	19506	25940
LOC113014336	416	331	342	251	293	374	261	283	193	355	163
LOC113014338	189	311	162	294	643	1603	1200	292	75	458	78
LOC113014339	13	2	0	9	13	24	35	0	0	7	5
LOC113014340	328	170	492	240	137	456	181	161	166	299	151
LOC113014343	0	0	0	0	0	1	3	0	0	0	0
LOC113014344	273	127	33	38	250	288	322	62	100	275	62
LOC113014345	0	5	0	106	5	3	67	197	56	25	39
LOC113014346	69	39	48	28	149	632	381	73	4	285	31
LOC113014347	65	37	110	64	128	611	381	294	102	471	140
LOC113014348	32	11	13	13	75	150	143	23	17	84	21
LOC113014355	90	111	127	73	87	221	75	102	18	92	19
LOC113014356	0	0	0	0	0	0	0	2	0	4	0
LOC113014358	68	44	88	58	69	396	129	208	55	140	62
LOC113014359	0	6	0	0	5	7	0	2	3	3	0
LOC113014360	0	9	5	7	6	55	43	29	4	31	15
LOC113014362	135	171	372	248	732	2147	1557	849	613	1382	604
LOC113014363	304	306	270	185	219	1245	473	798	190	708	395
LOC113014364	0	5	13	8	61	103	108	27	5	51	3
LOC113014366	54	68	58	39	253	563	386	30	10	99	5
LOC113014367	2	0	0	3	9	50	54	13	10	31	5
LOC113014368	59	29	59	50	96	201	194	159	42	160	43
LOC113014369	4	0	0	0	0	14	0	0	0	0	0
LOC113014370	31	14	50	25	116	169	111	60	55	91	46
LOC113014372	38	57	124	37	44	137	163	170	20	345	17
LOC113014373	173	126	282	141	309	779	430	260	93	467	92
LOC113014375	10	11	24	1	4	21	7	2	0	8	0
LOC113014376	8	49	15	44	85	229	194	44	15	91	8
LOC113014378	7	11	0	5	14	25	61	26	2	11	6
LOC113014379	0	0	0	0	2	0	0	0	0	0	0
LOC113014381	34	38	76	9	55	316	189	85	37	217	13
LOC113014382	60	45	197	176	66	138	413	453	80	170	114
LOC113014383	22	22	28	18	93	102	136	8	0	32	9
LOC113014384	21	11	30	34	83	618	438	250	115	579	110
LOC113014385	0	7	0	0	0	10	2	0	0	1	0
LOC113014386	0	0	0	0	0	0	8	0	2	1	0
LOC113014387	18	16	13	16	36	108	78	43	37	101	22
LOC113014388	0	0	0	0	0	0	0	0	0	0	0
LOC113014389	463	558	484	426	974	2578	2055	380	105	1142	104
LOC113014390	132	110	84	88	145	234	177	70	19	119	28
LOC113014391	1	12	39	10	43	268	205	121	38	159	35
LOC113014392	51	18	55	43	108	346	195	107	57	224	98
LOC113014393	100	95	103	95	120	138	150	36	6	156	56
LOC113014394	608	466	668	463	514	670	434	400	116	454	183
LOC113014395	7	10	21	2	7	46	18	46	80	28	36
LOC113014396	1381	572	916	680	608	883	697	475	210	1104	283
LOC113014397	48	41	171	8	21	217	20	125	34	107	22
LOC113014398	10	2	27	6	45	62	110	11	0	30	9
LOC113014399	0	0	0	10	4	18	1	7	0	0	0
LOC113014400	0	0	2	5	0	17	0	0	0	0	0
LOC113014401	0	9	4	6	0	1	6	2	0	5	2
LOC113014402	9	8	2	8	1	12	8	1	0	10	0
LOC113014403	0	0	36	2	0	83	0	0	1	46	19
LOC113014404	0	0	0	0	0	0	1	0	0	0	0
